"year"	"month"	"identifier"	"id"	"name"	"waterbody"	"Lat"	"Long"	"type"	"SAL"	"WT"
2021	11	"2021_11"	"BH"	"sampling instance"	"GB"	54.361274	13.655677	"Coast"	7.14126984126984	6.25957446808511
2021	11	"2021_11"	"BH"	"sampling instance"	"GB"	54.35825	13.6925	"Coast"	7.14126984126984	6.25957446808511
2021	11	"2021_11"	"BH"	"sampling instance"	"GB"	54.36325	13.6925	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.32996	13.46104	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.32794	13.45708	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.32808	13.45889	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.33112	13.46128	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.33058	13.46086	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.33143	13.45703	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.3316	13.45679	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.33104	13.45293	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.33069	13.45762	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.26464	13.36337	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.26888	13.38162	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.27635	13.3895	"Coast"	7.14126984126984	6.25957446808511
2020	11	"2020_11"	"BH"	"sampling instance"	"GB"	54.2765	13.38011	"Coast"	7.14126984126984	6.25957446808511
2019	12	"2019_12"	"BH"	"sampling instance"	"GB"	54.3248882824427	13.5519531083969	"Coast"	6.54	4.18
2020	2	"2020_2"	"BH"	"sampling instance"	"GJB"	54.47363	13.44917	"Coast"	3.7875	4.0375
2020	2	"2020_2"	"BH"	"sampling instance"	"GJB"	54.55407	13.45558	"Coast"	3.7875	4.0375
2020	3	"2020_3"	"BH"	"sampling instance"	"GJB"	54.55635	13.4896	"Coast"	7.64	7.06
2020	3	"2020_3"	"BH"	"sampling instance"	"GJB"	54.54617	13.3821	"Coast"	7.64	7.06
2021	6	"2021_6"	"BH"	"sampling instance"	"GJB"	54.5416671428571	13.4474071428571	"Coast"	9.3	8.3
2020	2	"2020_2"	"BH"	"sampling instance"	"KB"	54.379184	13.128922	"Coast"	8.51428571428571	4.57142857142857
2020	2	"2020_2"	"BH"	"sampling instance"	"KB"	54.381612	13.250138	"Coast"	8.51428571428571	4.57142857142857
2020	3	"2020_3"	"BH"	"sampling instance"	"KB"	54.3798777142857	13.1635551428571	"Coast"	7.65	6
2020	2	"2020_2"	"BH"	"sampling instance"	"KJB"	54.47808	13.50877	"Coast"	6.06	5.06
2020	2	"2020_2"	"BH"	"sampling instance"	"KJB"	54.47817	13.50849	"Coast"	6.06	5.06
2020	2	"2020_2"	"BH"	"sampling instance"	"KJB"	54.47	13.5	"Coast"	6.06	5.06
2020	2	"2020_2"	"BH"	"sampling instance"	"KJB"	54.479436	13.502336	"Coast"	6.06	5.06
2021	3	"2021_3"	"BH"	"sampling instance"	"KWB"	54.25189	12.3972	"Freshwater"	0.275	6.35
2021	3	"2021_3"	"BH"	"sampling instance"	"KWB"	54.25245925	12.391305	"Freshwater"	0.275	6.35
2021	3	"2021_3"	"BH"	"sampling instance"	"KWB"	54.252649	12.38934	"Freshwater"	0.275	6.35
2021	4	"2021_4"	"BH"	"sampling instance"	"KWB"	54.252649	12.38934	"Freshwater"	0.3	5.2
NA	NA	"NA_NA"	"BH"	"sampling instance"	"KWB"	54.25245925	12.391305	"Freshwater"	0.00055720202	1
2021	3	"2021_3"	"BH"	"sampling instance"	"NHG"	54.331809	12.529867	"Freshwater"	0.375	7.725
2021	4	"2021_4"	"BH"	"sampling instance"	"NHG"	54.331809	12.529867	"Freshwater"	0.4	8.5
2020	2	"2020_2"	"BH"	"sampling instance"	"P"	54.06846	13.79008	"Coast"	7.5	4.9
2020	2	"2020_2"	"BH"	"sampling instance"	"P"	54.04867	13.78859	"Coast"	7.5	4.9
2020	2	"2020_2"	"BH"	"sampling instance"	"P"	54.04138	13.78164	"Coast"	7.5	4.9
2020	3	"2020_3"	"BH"	"sampling instance"	"P"	54.0991687857143	13.7727348619048	"Coast"	3.36666666666667	5.8625
2020	3	"2020_3"	"BH"	"sampling instance"	"P"	54.1008955	13.8023807	"Coast"	3.36666666666667	5.8625
