year,name,waterbody,identifier,Lat,Long,type,turbidity,SAL,WT
2022,Odin,Open Baltic,2022,54.2317,12.0753,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.2312,12.0747,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5416,10.6863,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.8763,17.3895,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.3258,18.0682,Sea,,10.67,
2022,P20 Peenemuende s.,Peenestrom,2022,54.121,13.773,Coast,0.5,4.8,2.25
2022,P42 Wolgast s.,Peenestrom,2022,54.023358,13.760763,Coast,0.6,4.55,2.2
2022,P48 Lassan,Peenestrom,2022,53.96667,13.891671,Coast,0.4,2.5,2.2
2022,RB10 Lietzow n.,Gr. Jasmunder Bodden,2022,54.50667,13.490002,Coast,8,8.3,2.3
2022,RB3 Bugspitze s.,Rassower Strom,2022,54.55333,13.178332,Coast,1.5,10.3,2.9
2022,RB6 Wittower Faehre oe.,Breetzer Bodden,2022,54.56333,13.293332,Coast,1,8.8,2.6
2022,RB9 Glowe sw.,Gr. Jasmunder Bodden,2022,54.54333,13.426672,Coast,0.9,8.4,2.3
2022,S66 Stralsund,Andershofer Bucht,2022,54.28667,13.131671,Coast,1.2,8.3,1.6
