"ID"	"age"	"capt"	"area"	"d18O"	"res"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"year"	"dist"
"BH-01860"	7	"KB"	"WRB"	-6.75548904285714	-1.45030420371871	0.00547797101449275	0.00594007246376812	4.12231884057971e-05	3.80178743961352e-06	8.10434782608695e-06	5	1578.198023
"BH-01860"	7	"KB"	"WRB"	-6.79844662857143	-1.52151135227325	0.00584188405797101	0.00587386473429952	5.50183574879227e-05	5.52347826086956e-06	1.56423671497585e-05	5	1618.009889
"BH-01867"	6	"SB"	"WRB"	-8.03728797142857	-1.50932130971132	0.00338888888888889	0.00805444444444444	8.22e-05	1.42111111111111e-05	9.72888888888889e-05	1	0
"BH-01867"	6	"SB"	"WRB"	-7.85021461428571	-1.31103708143977	0.00311232098765432	0.0078062962962963	8.47407407407407e-05	1.12545185185185e-05	0.000110037777777778	1	38.41874542
"BH-01867"	6	"SB"	"WRB"	-7.70194165714286	-1.16249281861403	0.00298691358024691	0.00774377777777778	8.59846913580247e-05	9.86728395061728e-06	7.37664197530864e-05	1	76.83749085
"BH-01867"	6	"SB"	"WRB"	-7.52041121428571	-0.988570084426027	0.00352281481481481	0.00780992592592593	9.47918518518519e-05	1.00682222222222e-05	6.68681481481481e-05	1	115.2562363
"BH-01867"	6	"SB"	"WRB"	-7.49962528571429	-0.987678667093431	0.00349795061728395	0.00890896296296296	9.32283950617284e-05	9.54688888888889e-06	8.39720987654321e-05	1	153.0522787
"BH-01867"	6	"SB"	"WRB"	-7.33333785714286	-0.818345553493005	0.00362864197530864	0.00829481481481482	8.93469135802469e-05	1.44506172839506e-05	0.00010603950617284	1	191.4706244
"BH-01867"	6	"SB"	"WRB"	-7.03817767142857	-0.497565563327965	0.00424733333333333	0.00851066666666667	0.000105865925925926	2.038e-05	0.000119459259259259	1	229.8891037
"BH-01867"	6	"SB"	"WRB"	-6.82893265714286	-0.193813258496339	0.00323992592592593	0.00817254320987654	8.38116049382716e-05	1.19313333333333e-05	9.21637037037037e-05	1	268.3076592
"BH-01867"	6	"SB"	"WRB"	-6.59613025714286	0.0517460833731341	0.00310871604938272	0.00776760493827161	7.35024691358025e-05	9.15935802469136e-06	5.91365432098766e-05	1	306.7262623
"BH-01867"	6	"SB"	"WRB"	-6.23722655714286	0.355669500912521	0.003088	0.00660577777777778	6.72088888888889e-05	9.63222222222222e-06	5.59933333333333e-05	1	344.5228585
"BH-01867"	6	"SB"	"WRB"	-5.9046517	0.607923009859293	0.00378716049382716	0.00781814814814815	7.37913580246914e-05	1.20372839506173e-05	8.65592592592593e-05	1	382.9412488
"BH-01867"	6	"SB"	"WRB"	-5.57900548571429	0.954591698051687	0.00345748148148148	0.00719313580246914	7.82723456790123e-05	1.0004962962963e-05	8.66822222222222e-05	1	421.3597038
"BH-01867"	6	"SB"	"WRB"	-5.42518961428571	1.07630801902821	0.00328822222222222	0.00768644444444444	6.93214814814815e-05	7.91444444444444e-06	6.34170370370371e-05	1	459.7782074
"BH-01867"	6	"SB"	"WRB"	-5.30047404285714	1.10820545652549	0.00299158024691358	0.00767918518518518	5.76014814814815e-05	5.47441975308642e-06	3.42125925925926e-05	1	498.1967483
"BH-01867"	6	"SB"	"WRB"	-5.22703042857143	1.0205734002813	0.00307041975308642	0.00700967901234568	4.34567901234568e-05	6.12118518518519e-06	1.29516049382716e-05	1	535.9934701
"BH-01867"	6	"SB"	"WRB"	-5.23811625714286	0.826962027909844	0.00383925925925926	0.00673592592592593	4.16111111111111e-05	1.0207037037037e-05	1.14777777777778e-05	1	574.4118731
"BH-01867"	6	"SB"	"WRB"	-5.38500348571429	0.65413909101034	0.00415525925925926	0.00669338271604938	5.11318518518518e-05	1.33565432098765e-05	3.07487654320988e-05	1	613.6138851
"BH-01867"	6	"SB"	"WRB"	-5.46260428571429	0.609899598713567	0.00350782716049383	0.00702617283950617	5.93007407407408e-05	1.12102469135802e-05	3.23718518518518e-05	2	652.8162069
"BH-01867"	6	"SB"	"WRB"	-5.3129456	0.75559276163842	0.003884	0.00693888888888889	6.82666666666667e-05	1.43888888888889e-05	3.93888888888888e-05	2	692.0187859
"BH-01867"	6	"SB"	"WRB"	-5.20070158571429	0.893205715531134	0.00452153086419753	0.00622496296296296	6.48279012345679e-05	1.85543209876543e-05	5.83311111111111e-05	2	730.6024911
"BH-01867"	6	"SB"	"WRB"	-5.25058781428571	0.902610928216703	0.00513185185185185	0.00675617283950617	8.48740740740741e-05	2.00234567901235e-05	3.83271604938272e-05	2	769.8058197
"BH-01867"	6	"SB"	"WRB"	-5.08152892857143	1.15847462464457	0.0054957037037037	0.00682207407407408	7.53237037037037e-05	1.9222962962963e-05	4.17859259259259e-05	2	809.0092707
"BH-01867"	6	"SB"	"WRB"	-5.15081535714286	1.18678391158439	0.00418387654320988	0.00664679012345679	6.53064197530864e-05	1.22556543209877e-05	2.71138271604938e-05	2	848.2128271
"BH-01867"	6	"SB"	"WRB"	-5.060743	1.2656007994041	0.00371197530864197	0.00705723456790124	6.75528395061728e-05	9.03365432098765e-06	2.92861728395062e-05	2	887.4164749
"BH-01867"	6	"SB"	"WRB"	-5.2450449	1.05847948991289	0.00356051851851852	0.0069562962962963	5.79814814814815e-05	6.99044444444445e-06	1.79414814814815e-05	2	926.0032397
"BH-01867"	6	"SB"	"WRB"	-5.36006037142857	0.864660867157482	0.00354691358024691	0.00653592592592593	5.10037037037037e-05	4.91358024691358e-06	1.40345679012346e-05	2	965.2072316
