"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"	"rad"
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"2"	2018	258.3	3	722.6
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"3"	2019	215.6	3	938.2
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"4"	2020	186.9	3	1125.1
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"edge"	NA	106	3	1231.1
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"core"	NA	NA	3	NA
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"1"	2019	326.7	3	326.7
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"2"	2020	290.6	3	617.3
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"edge"	NA	211.5	3	828.8
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"core"	NA	NA	3	NA
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"1"	2012	474	3	474
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"2"	2013	226.9	3	700.9
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"3"	2014	151.4	3	852.3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"4"	2015	113.5	3	965.8
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"5"	2016	116.2	3	1082
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"6"	2017	116.3	3	1198.3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"7"	2018	102.5	3	1300.8
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"8"	2019	81.3	3	1382.1
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"9"	2020	83	3	1465.1
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"edge"	NA	54.7	3	1519.8
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"core"	NA	NA	3	NA
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"1"	2011	445.5	3	445.5
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"2"	2012	192.9	3	638.4
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"3"	2013	155.4	3	793.8
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"4"	2014	122.6	3	916.4
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"5"	2015	143.6	3	1060
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"6"	2016	158.4	3	1218.4
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"7"	2017	137.5	3	1355.9
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"8"	2018	140.5	3	1496.4
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"9"	2019	107.6	3	1604
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"10"	2020	146.6	3	1750.6
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2021-02-01	340.2	"edge"	NA	70.2	3	1820.8
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"core"	NA	NA	3	NA
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"1"	2014	335	3	335
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"2"	2015	209.3	3	544.3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"3"	2016	159.2	3	703.5
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"4"	2017	140.1	3	843.6
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"5"	2018	159.2	3	1002.8
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"6"	2019	241.7	3	1244.5
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"7"	2020	140.1	3	1384.6
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"edge"	NA	56.6	3	1441.2
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"core"	NA	NA	3	NA
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"1"	2015	376.8	3	376.8
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"2"	2016	109	3	485.8
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"3"	2017	110	3	595.8
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"4"	2018	120.2	3	716
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"5"	2019	134.4	3	850.4
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"6"	2020	151.8	3	1002.2
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"edge"	NA	153.8	3	1156
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"core"	NA	NA	3	NA
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"1"	2018	415.4	3	415.4
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"2"	2019	228.2	3	643.6
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"3"	2020	104.1	3	747.7
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"edge"	NA	47.4	3	795.1
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"core"	NA	NA	3	NA
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"1"	2017	337.8	3	337.8
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"2"	2018	225.2	3	563
