"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00681"	"WB"	"Marine"	2	0.00329484697617113	0.00764429388171657	9.82349594689843e-05	3.76611379887165e-06	3.09177852594652e-05	-6.40021269117647
"BH-00681"	"WB"	"Marine"	2	0.00319557759754011	0.0073834992375401	9.01510467893051e-05	3.22329135614973e-06	3.00869592074866e-05	-7.01559844705882
"BH-00681"	"WB"	"Marine"	2	0.00311585241368984	0.00649717428641712	6.32080577160428e-05	2.48649825486631e-06	2.29057732887701e-05	-7.27921292941176
"BH-00681"	"WB"	"Marine"	2	0.00314768770427808	0.00691748642021391	7.30710458106952e-05	2.73744800748663e-06	4.35706334834226e-05	-6.09922429411764
"BH-00681"	"WB"	"Marine"	2	0.00320240931658823	0.00698981544501604	8.88913139638504e-05	3.05344589170054e-06	5.89018618172193e-05	-5.4741384382353
"BH-00681"	"WB"	"Marine"	2	0.0032917475248984	0.0062355145433369	0.000112945544517219	3.40076575371123e-06	6.07812218179679e-05	-6.10321845294118
"BH-00681"	"WB"	"Marine"	2	0.00343359065160428	0.0063967129446524	0.000114432723877006	3.05098068074866e-06	4.85462652860962e-05	-6.35142689411765
"BH-00681"	"WB"	"Marine"	2	0.00355541910502674	0.00686817758545454	0.000106147655452407	2.53184778010696e-06	3.36178174545454e-05	-6.44043957647059
"BH-00681"	"WB"	"Marine"	2	0.00328758947235294	0.00680827415	9.07810276117648e-05	3.05290926941177e-06	4.67356050999999e-05	-6.46440452941177
"BH-00681"	"WB"	"Marine"	2	0.00320620362149732	0.00660350079689839	7.78379517764705e-05	3.41766476245989e-06	4.83624006385025e-05	-6.63957692352941
"BH-00681"	"WB"	"Marine"	2	0.0033299059306417	0.00623937053438502	6.75607831470587e-05	3.61048365962566e-06	3.73491048593582e-05	-6.98107750294118
"BH-00681"	"WB"	"Marine"	2	0.00350119439219251	0.00603505460213903	5.72052521240641e-05	3.32193710534759e-06	2.69861221764705e-05	-6.12090687058823
