"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"dist"	"d18O"
"BH-91053"	"Ziese"	"Freshwater"	0.00100033333333333	0.00657333333333333	4.87666666666667e-05	1.65333333333333e-05	0.000103966666666667	220	-7.4566677
"BH-91053"	"Ziese"	"Freshwater"	0.00100588888888889	0.00659	4.92777777777778e-05	1.62111111111111e-05	9.62111111111111e-05	225.5	-7.4566677
"BH-91053"	"Ziese"	"Freshwater"	0.00100033333333333	0.00646	4.99222222222222e-05	1.56444444444444e-05	8.83444444444444e-05	231	-7.4566677
"BH-91053"	"Ziese"	"Freshwater"	0.000990222222222222	0.00637666666666667	5.03222222222222e-05	1.52111111111111e-05	8.20888888888889e-05	236.5	-7.4566677
"BH-91053"	"Ziese"	"Freshwater"	0.000993666666666667	0.00635777777777778	5.09333333333333e-05	1.51e-05	7.55111111111111e-05	242	-7.4566677
"BH-91053"	"Ziese"	"Freshwater"	0.000989555555555556	0.00635222222222222	5.15777777777778e-05	1.50555555555556e-05	6.92888888888889e-05	247.5	-7.4566677
"BH-91053"	"Ziese"	"Freshwater"	0.000990666666666667	0.00636666666666667	5.09e-05	1.48777777777778e-05	6.26111111111111e-05	253	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000998111111111111	0.00630444444444444	5.11888888888889e-05	1.44777777777778e-05	5.57444444444444e-05	258.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000986222222222222	0.00618222222222222	5.02222222222222e-05	1.41888888888889e-05	4.73222222222222e-05	264	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000984	0.00609222222222222	4.93777777777778e-05	1.41e-05	3.94222222222222e-05	269.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000978333333333333	0.00606666666666667	5.08111111111111e-05	1.44555555555556e-05	3.44333333333333e-05	275	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000975888888888889	0.00610222222222222	5.15222222222222e-05	1.49333333333333e-05	3.18888888888889e-05	280.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000979222222222222	0.00615444444444445	5.24555555555556e-05	1.52222222222222e-05	2.98666666666666e-05	286	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000975333333333333	0.00617222222222222	5.26111111111111e-05	1.53444444444444e-05	2.75444444444444e-05	291.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000987222222222222	0.00616222222222222	5.30444444444444e-05	1.53555555555556e-05	2.53555555555555e-05	297	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000979555555555556	0.00611	5.20222222222222e-05	1.51222222222222e-05	2.32777777777778e-05	302.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000977333333333333	0.00613444444444444	5.16111111111111e-05	1.49444444444444e-05	2.08855555555555e-05	308	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000979555555555556	0.00611	5.10888888888889e-05	1.431e-05	1.84855555555555e-05	313.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000976111111111111	0.00608888888888889	4.88777777777778e-05	1.359e-05	1.58544444444444e-05	319	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000986777777777778	0.00608333333333333	4.54222222222222e-05	1.26755555555556e-05	1.30955555555555e-05	324.5	-7.7476707
"BH-91053"	"Ziese"	"Freshwater"	0.000989111111111111	0.00600222222222222	4.21333333333333e-05	1.162e-05	1.04477777777778e-05	330	-6.8649616
"BH-91053"	"Ziese"	"Freshwater"	0.000991444444444445	0.0059	3.85e-05	1.10088888888889e-05	8.13444444444442e-06	335.5	-6.8649616
"BH-91053"	"Ziese"	"Freshwater"	0.00100088888888889	0.00581111111111111	3.53888888888889e-05	1.03366666666667e-05	6.7022222222222e-06	341	-6.8649616
"BH-91053"	"Ziese"	"Freshwater"	0.000995333333333333	0.00575666666666667	3.37444444444444e-05	9.75666666666667e-06	5.74444444444442e-06	346.5	-6.8649616
"BH-91053"	"Ziese"	"Freshwater"	0.000994333333333333	0.00572777777777778	3.34222222222222e-05	9.56777777777778e-06	5.07777777777776e-06	352	-6.8649616
