"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"core"	NA	NA	3
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"1"	2019	310.9	3
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"2"	2020	289	3
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"edge"	NA	158.9	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"core"	NA	NA	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"1"	2015	532.7	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"2"	2016	202.7	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"3"	2017	92.4	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"4"	2018	117.6	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"5"	2019	116.3	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"6"	2020	140.2	3
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"edge"	NA	72.9	3
"BH-00681"	2	2018	"WB"	630	NA	"m"	2020-02-28	522.4	"core"	NA	NA	3
"BH-00681"	2	2018	"WB"	630	NA	"m"	2020-02-28	522.4	"1"	2019	477	3
"BH-00681"	2	2018	"WB"	630	NA	"m"	2020-02-28	522.4	"2"	2020	123.7	3
"BH-00681"	2	2018	"WB"	630	NA	"m"	2020-02-28	522.4	"edge"	NA	126.9	3
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"core"	NA	NA	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"1"	2013	447.9	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"2"	2014	281.1	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"3"	2015	299.4	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"4"	2016	207.1	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"5"	2017	139.2	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"6"	2018	128.5	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"7"	2019	138.4	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"8"	2020	109.3	1
"BH-01908"	8	2012	"GB"	876	NA	"f"	2021-01-30	592.5	"edge"	NA	97.4	1
"BH-01906"	13	2007	"SB"	1230	13600	"f"	2019-11-05	353.2	"core"	NA	NA	3
"BH-01906"	13	2007	"SB"	1230	13600	"f"	2019-11-05	353.2	"1"	2008	468.3	3
"BH-01906"	13	2007	"SB"	1230	13600	"f"	2019-11-05	353.2	"2"	2009	149.4	3
"BH-01906"	13	2007	"SB"	1230	13600	"f"	2019-11-05	353.2	"3"	2010	124	3
"BH-01906"	13	2007	"SB"	1230	13600	"f"	2019-11-05	353.2	"4"	2011	122	3
