Station	waterbody	coast/FW	ID	Lat	Long	Date	Cond_mS	Sal_PSU	WT_C	pH	Secchi_cm	O2_mg/l	O2_perc	flow	waterlevel_cm	LT_C	d18O	SD_d18O	d2H	SD_d2H	type	comment
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	14.04.2021		0.25	8.3	7.98	50										Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	24.03.2020		7.4	5.3	8.57	40	12.73	101.4	A	527	1.4	-5.454	0.36	-39.511	1.024	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	07.04.2020		8	9.2	8.36	40	11.4	103	A	509	11.7	-5.336	0.357	-39.433	1.061	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	21.04.2020		8.4	11.2	8.51	45	11.7	108.5	E	523	12.9	-5.169	0.386	-38.585	1.189	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	05.05.2020		7.4	13.2	9.08	30	10.06	97	E	502	9.1	-5.231	0.128	-37.958	0.268	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	19.05.2020		7.3	12.3	8.85	25	9.65	92.3	E	501	12.7	-4.555	0.09	-35.272	0.039	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	02.06.2020		8.1	17.8	8.89	30	10.07	107.7	A	526	18.8	-4.362	0.294	-34.574	0.901	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	16.06.2020		8.1	19.3	8.87	25	10.03	110.8	A	526	22.4	-4.551	0.216	-34.888	0.498	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	30.06.2020		7	22.1	9.1	25	7.96	90.4	A	508	17.8	-4.041	0.257	-32.322	0.899	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	14.07.2020		7.95	17.8	8.76	35	9.58	103	E/A	518	19.8	-4.244	0.315	-33.972	0.932	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	28.07.2020		7.6	20	8.64	30	8.32	93.5	E	525	21.2	-4.031	0.297	-33.473	0.807	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	11.08.2020		8.6	24	8.58	40	7.43	86.9	E	533	22.8	-4.149	0.088	-33.874	0.246	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	25.08.2020		7.55	19.5	8.2	40	7.71	84.4	E	500	18.3	-3.446	0.076	-29.708	0.294	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	08.09.2020		7.35	16.4	8.02	40	8.27	85.1	A	507	15.6	-3.556	0.152	-29.858	0.576	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	22.09.2021		7.5	16.6	8.35	40	9.84	102.4	A	514	15.3	-3.666	0.169	-30.584	0.638	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	07.10.2020		7.5	13.4	8.1	45	9.22	92.1	A	509	11.8	-3.684	0.099	-30.984	0.326	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	22.10.2020		7.1	10.4	8.3	30	9.99	94.7	A	503	14.6	-3.957	0.021	-31.865	0.03	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	03.11.2020		6.8	11.8	8.31	35	9.62	91.5	A	502	10.9	-4.203	0.165	-32.606	0.393	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	17.11.2020		7.2	8.5	8.18	45	9.9	90.9	A	508	8	-4.265	0.166	-33.116	0.594	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	01.12.2020		7.7	4	8.13	50	11.73	92.8	A	527	2.6	-4.346	0.065	-33.45	0.155	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	15.12.2020		7.1	2.6	8.17	35	12.31	97.5	A	503	4.8	-4.493	0.106	-33.498	0.35	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	29.12.2020		6.9	2.1	8.1	40	11.9	92.6	E	507	0.8	-4.961	0.172	-36.456	0.49	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	19.01.2021		6.45	0.6	8.25	30	12.86	96.5	A	507	2.3	-5.293	0.188	-39.598	0.494	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	27.01.2021		6.3	1.5	8.23	55	12.69	95	E	513	0.7	-6.012	0.299	-43.68	0.839	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	09.02.2021		7.2	-0.4	8.1	70	13.49	96.9	E	548	-7.1	-5.983	0.293	-44.126	0.812	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	23.02.2021		5.1	1.6	8.42	35	13.8	106.3	A	502	7.2	-5.902	0.236	-42.866	0.641	Timeseries	
Zingster Strom 	ZS	Coast	E	54.429826	12.687525	09.03.2021		5.5	2	8.47	40	12.82	95.3	A	505	-2.2	-6.091	0.227	-43.883	0.851	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	04.03.2020		11.2	5.5												Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	18.03.2020		9.9	7.2								-5.9	0.16	-42.2	0.6	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	02.04.2020		9.4	6.9								-5.9	0.22	-43.2	0.5	Timeseries	
